id;descricao;inicio;fim;tipo_calendario_id;dre_id_eol;ue_id_eol;status;criado_em;bimestre
1588;correção pendencias 2º bim 12;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108400;094234;1;2016-12-19 10:19:04.723;2
1589;correção pendencias 3º bim 12;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108400;094234;1;2016-12-19 10:19:42.673;3
1590;correção pendencias 1º bim;2016-06-15 00:00:00.000;2016-06-24 00:00:00.000;3;108400;094234;1;2016-06-15 15:19:35.340;1
1591;correção pendencias 1º bim nº2;2016-06-25 00:00:00.000;2016-07-08 00:00:00.000;3;108400;094234;1;2016-06-30 13:21:16.843;1
1592;"Fechamento do 1º bimestre - correção ";2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;108500;015024;1;2016-06-16 14:37:36.173;1
1593;Correção de Pendências 2º Bimestre;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;108500;015024;1;2016-09-20 12:38:32.343;2
1594;Retificação do 1º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;015024;1;2016-11-28 12:46:52.367;1
1595;Retificação do 2º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;015024;1;2016-11-28 12:47:59.037;2
1596;Retificação do 3º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;015024;1;2016-11-28 12:48:33.937;3
1597;Retificação do 1º bimestre I;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;108500;015024;1;2016-12-07 09:35:39.160;1
1598;Retificação do 2º bimestre I;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;108500;015024;1;2016-12-07 09:37:09.803;2
1599;Retificação do 3º bimestre I;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;108500;015024;1;2016-12-07 09:38:33.220;3
1600;CORREÇÃO DE PENDÊNCIAS DO 1º BIMESTRE;2016-11-23 00:00:00.000;2016-11-30 00:00:00.000;3;109000;093122;1;2016-11-23 12:11:35.453;1
1601;CORREÇÃO DE PENDÊNCIAS DO 2º BIMESTRE;2016-11-23 00:00:00.000;2016-11-30 00:00:00.000;3;109000;093122;1;2016-11-23 12:16:18.080;2
1602;CORREÇÃO DE PENDÊNCIAS DO 3º BIMESTRE;2016-11-23 00:00:00.000;2016-11-30 00:00:00.000;3;109000;093122;1;2016-11-23 12:17:04.710;3
1603;Retificação Primeiro Bimesrte;2016-11-17 00:00:00.000;2016-11-30 00:00:00.000;3;108800;019401;1;2016-11-16 12:49:40.773;1
